geoid	detail	st_fip	cty_fip	trt_fip	state	pop_tot	pop_wht	pop_blk	pop_his	pop_asi	pop_two	pop_oth	pop_nat	pop_isl	pop_nw	emp_une	emp_emp	ed_grad	ed_bs	ed_as	ed_hs	ed_l_hs	med_inc	med_val	med_ren
6075017700	Census Tract 177, San Francisco County, California	6	75	17700	California	1763	0.411798071469087	0.0272263187748157	0.338060124787294	0.120249574588769	0.0692002268859898	0.0334656834940442	0	0	0.588201928530913	0.0939044481054366	0.906095551894563	0.151890034364261	0.327147766323024	0.0701030927835052	0.266666666666667	0.184192439862543	78712	762200	1551
6075980900	Census Tract 9809, San Francisco County, California	6	75	980900	California	271	0.431734317343173	0.107011070110701	0.202952029520295	0.18450184501845	0.044280442804428	0	0	0.029520295202952	0.568265682656827	0.157894736842105	0.842105263157895	0.254166666666667	0.45	0	0.275	0.0208333333333334	94000	693200	2019
