req_name,req_type,city,explain
Lead Inspection Request,Non-Human,Chicago,-
Licensed Pharmaceutical Representative Complaint,Human ,Chicago,-
Liquor Establishment Complaint,Human ,Chicago,Refers to compalaints agains human in charge of establishment
Low Water Pressure Complaint,Non-Human,Chicago,-
Minimum Wage Complaint,Human ,Chicago,-
Missed Garbage Pick-Up Complaint,Non-Human,Chicago,-
No Building Permit and Construction Violation,Human ,Chicago,Complaints against humans in construction / demolition
No Solicitation Complaint,Human ,Chicago,Complaints against humans soliciting
No Water Complaint,Non-Human,Chicago,-
Nuisance Animal Complaint,Non-Human,Chicago,-
Open Fire Hydrant Complaint,Non-Human,Chicago,-
Operating Without Business License Complaint,Human ,Chicago,Complaint against people running a business
Outdated Merchandise Complaint,Human ,Chicago,Complaints against human vendor
Paid Sick Leave Violation,Human ,Chicago,Complaints against human employer
Pet Wellness Check Request,Human ,Chicago,Complaint against pet-owner
Porch Inspection Request,Human ,Chicago,Complaint about someone else's property/their mainenance of it
Pothole in Street Complaint,Non-Human,Chicago,-
Protected Bike Lane - Debris Removal,Non-Human,Chicago,-
Public Vehicle/Valet Complaint,Human ,Chicago,Complaints against human driver
Pushcart Food Vendor Complaint,Human ,Chicago,-
Recycling Inspection Request,Non-Human,Chicago,-
Recycling Pick Up,Non-Human,Chicago,-
Renters and Foreclosure Complaint,Human ,Chicago,-
Report an Injured Animal,Non-Human,Chicago,-
Restaurant Complaint,Human ,Chicago,Complaint against service staff/restaurant owners
Ridesharing Complaint,Human ,Chicago,-
Rodent Baiting/Rat Complaint,Non-Human,Chicago,-
Roof and Porch Repair Program,Non-Human,Chicago,-
Sanitation Code Violation,Human ,Chicago,Complaints against human in charge of Sanitation
Sewer Cave-In Inspection Request,Non-Human,Chicago,-
Sewer Cleaning Inspection Request,Non-Human,Chicago,-
Shared Housing/Vacation Rental Complaint,Human ,Chicago,-
Sidewalk Cafe Complaint,Human ,Chicago,Complaints against human in charge of Café
Sidewalk Inspection Request,Non-Human,Chicago,-
Sign Repair Request - All Other Signs,Non-Human,Chicago,-
Sign Repair Request - Do Not Enter Sign,Non-Human,Chicago,-
Sign Repair Request - One Way Sign,Non-Human,Chicago,-
Sign Repair Request - Residential Permit Parking,Non-Human,Chicago,-
Sign Repair Request - Stop Sign,Non-Human,Chicago,-
Smokeless Tobacco at Sports Event Complaint,Human ,Chicago,Complaints against human smoker
Smoking: Non-Food Establishment,Human ,Chicago,Complaints against human smoker
Snow Removal - Protected Bike Lane or Bridge Sidewalk,Non-Human,Chicago,-
Spills or Dumping in Natural Water Ways,Non-Human,Chicago,-
Stray Animal Complaint,Non-Human,Chicago,-
Street Cleaning Request,Non-Human,Chicago,-
Street Light On During Day Complaint,Non-Human,Chicago,-
Street Light Out Complaint,Non-Human,Chicago,-
Street Light Pole Damage Complaint,Non-Human,Chicago,-
Street Light Pole Door Missing Complaint,Non-Human,Chicago,-
Tanning and Body Art Complaint,Human ,Chicago,Complaints against artist
Tobacco - General Complaint,Human ,Chicago,Complaints against human smoker
Tobacco - Sale to Minors Complaint,Human ,Chicago,Complaints against human vendor
Traffic Signal Out Complaint,Non-Human,Chicago,-
Tree Debris Clean-Up Request,Non-Human,Chicago,-
Tree Planting Request,Non-Human,Chicago,-
Tree Removal Request,Non-Human,Chicago,-
Tree Trim Request,Non-Human,Chicago,-
Vacant/Abandoned Building Complaint,Non-Human,Chicago,Complaints against facility
Vehicle Parked in Bike Lane Complaint,Human ,Chicago,Complaints against human owner of car
Viaduct Light Out Complaint,Non-Human,Chicago,-
Vicious Animal Complaint,Non-Human,Chicago,-
Water in Basement Complaint,Non-Human,Chicago,-
Water On Street Complaint,Non-Human,Chicago,-
Weed Removal Request,Non-Human,Chicago,-
Wire Basket Request,Non-Human,Chicago,-
Yard Waste Pick-Up Request,Non-Human,Chicago,-
Abandoned Vehicle (on Street),Human,Peoria,-
Abandoned Vehicle (Private Property),Human,Peoria,-
Anonymous Tips,Human,Peoria,-
Arson Tips,Human,Peoria,-
"Blocked Street, Alley, Sidewalk",Non-Human,Peoria,-
Broken Parking Meter,Non-Human,Peoria,-
Citizen Fire Concern,Non-Human,Peoria,-
Dead Animal in Street,Non-Human,Peoria,-
Drainage/Flooding Problems,Non-Human,Peoria,-
Dumpsters Not Screened,Human,Peoria,People need to screen their dumpsters in this city
Excessive Growth-Private Property,Human,Peoria,-
Excessive Growth–Vacant Public Lot,Non-Human,Peoria,-
Fire Hazards,Non-Human,Peoria,-
Fire Permit Issue,Human,Peoria,"Regards whether people's homes are in compliance with fire laws, and if brush burning is in compliance with fire law"
Good Job,Human,Peoria,-
Graffiti on Private Property,Human,Peoria,-
Graffiti on Public Property,Human,Peoria,-
House/Fence in Disrepair,Human,Peoria,-
Illegal Disposal of Garbage,Human,Peoria,-
Illegal Drug Activity,Human,Peoria,-
Illegal Dumping,Human,Peoria,-
Illegal Home Occupation,Human,Peoria,-
Illegal Landscaping,Human ,Peoria,-
Illegal Permanent Signs,Human ,Peoria,-
Illegal Storage,Human ,Peoria,-
Illegal Temporary Signs,Human ,Peoria,-
Inaccessible Parking,Non-Human,Peoria,-
Mailbox Knocked Down,Human,Peoria,-
Missed Garbage Pickup,Non-Human,Peoria,-
Missed Landscape Waste Pickup,Non-Human,Peoria,-
Missed Recycling Pickup,Non-Human,Peoria,-
Non-Owner Occupied - Not Registered,Human,Peoria,-
Open Burning,Human,Peoria,Open burning of yard waste
Other/Miscellaneous,Other,Peoria,-
Overflowing City Garbage Can,Non-Human,Peoria,-
Parking lot in disrepair,Non-Human,Peoria,-
Parking on Unpaved Surface,Human,Peoria,-
"Potholes, Street Repair",Non-Human,Peoria,-
Private Business,Human,Peoria,Report againsta small business
Rodents,Non-Human,Peoria,-
Sewer Problems,Non-Human,Peoria,-
Sidewalk and Curbs,Non-Human,Peoria,-
Snow Removal Needed,Non-Human,Peoria,-
Street Lights,Non-Human,Peoria,-
Taxi Cab,Human,Peoria,-
Tire Removal,Non-Human,Peoria,-
Traffic Related Complaints,Human,Peoria,-
Traffic Signals,Non-Human,Peoria,-
Trash/Litter,Non-Human,Peoria,-
Unsafe Structures,Non-Human,Peoria,-
Visual Obstruction,Non-Human,Peoria,-
Website and Mobile App Feedback,Non-Human,Peoria,-
Working Without Building Permit,Human,Peoria,-
Yard Waste,Human,Peoria,-
Abandoned Motor Vehicles ,Human ,San Francisco,-
Blocked Driveway & Illigal Parking,Human ,San Francisco,-
Blocked Pedestrian Walway ,Human ,San Francisco,-
Curb & Sidewalk Issues,Non-Human,San Francisco,-
Damaged Public Property,Non-Human,San Francisco,-
Encampment,Human ,San Francisco,-
Flooding & Sewer Issues,Non-Human,San Francisco,-
Garbage Containers,Non-Human,San Francisco,"Although mainly caused by Humans, it is not a direct complaint against a human"
Graffiti,Human ,San Francisco,-
Illegal Postings,Human ,San Francisco,-
Noise Issue,Human ,San Francisco,-
Park Requests,Non-Human,San Francisco,-
Parking & Traffic Sign Repair,Non-Human,San Francisco,-
Pothole & Street Issues,Non-Human,San Francisco,-
Street or Sidewalk Cleaning,Non-Human,San Francisco,-
Streetlight Repair,Non-Human,San Francisco,-
Tree Maintenance,Non-Human,San Francisco,-
CE Collection,Other,Boston,
Illegal Auto Body Shop,Human,Boston,
Illegal Dumping,Human,Boston,
