total_reqs	prop_human	prop_nonhuman	prop_illegal	prop_legal	prop_adv	prop_not_adv	abandoned bike/vehicle	blocked passage	city feedback	city infrastructure	graffiti	housing	information request	landscaping request/concern	noise	other/miscellaneous	property damage (public)	roadway/roadway lighting	waste/cleanup services	pop_tot	pop_wht	pop_blk	pop_his	pop_asi	pop_two	pop_oth	pop_nat	pop_isl	pop_nw	emp_une	emp_emp	ed_grad	ed_bs	ed_as	ed_hs	ed_l_hs	med_inc	med_val	med_ren	color
2	0	0.1111111111111111	0	0	0.08333333333333333	0.1111111111111111	0.0014019346698443853	0.0029585798816568047	2.5340192078655957e-5	0.006307809803977032	0.004051863857374392	4.3535045711797995e-4	2.3083492994159875e-5	0.004578623551294892	9.847365829640572e-4	8.321198252548367e-4	0.002268308489954634	0.02011403230915426	0.08333333333333333	78	0.020614219604544	0	0	0	0	0	0	0	0.064102564102564	0	0.755355129650507	0.010734929810074	0.054169030062394	0	0.087167762217777	0	11925	350000	267	0_#740023
2192	0.2589052039128411	0.5118909983601365	0.22748963264848182	0	0.2738838995693548	0.49793570171953916	0.008396656189945551	0.036320325231467235	7.526114154742498e-5	0.015292195270059577	0.059672103273735566	0.005238669417645498	2.3923807367291174e-5	0.011376815992475572	0.0038251279503257055	0.004165293779372022	0.0060777886548913605	0.037652153198801636	0.29425445551213864	2581.75	0.11129489579181576	0.005453690316571	0.05360547488145425	0.1049261617068725	0.01522061124227425	0	0	0	0.28947930958347823	0.03211202036740325	0.8870387676417906	0.05110163127487175	0.19870319646125423	0.02634817498577675	0.15438897005158625	0.0212971042495545	41703.625	573650	1090.375	.125_#b63132
3330	0.30815674579047603	0.5572365434165213	0.27925414113993907	0	0.3463397583945671	0.5383509278873824	0.016643167836498107	0.04772177554692761	9.223687103838254e-5	0.020834465596640164	0.08042828889671268	0.010123506782749545	2.4764121740422477e-5	0.016745790752919806	0.0059447983014862	0.006850951111774773	0.009637071970473652	0.049243454164782	0.3750058201939093	3240.5	0.2522084346191175	0.011562180147934	0.0723627041092415	0.1373459524301905	0.023044393206583497	0	0	0	0.3944225357546245	0.0445678478653935	0.9083820688644471	0.112043798513907	0.258077966277474	0.036245138093204995	0.19115628390338602	0.045511074500638	63841.25	636600	1391	.25_#d27952
4653.25	0.3585086203976561	0.5862796955488958	0.3222839447666325	0	0.3812425180685149	0.5648065496235433	0.027033182015943652	0.056658924414162565	1.1964540712871221e-4	0.02962361103927408	0.0986772119281562	0.01650036150498737	2.505215690953922e-5	0.023259166712181624	0.007221017535503441	0.010386353445694267	0.012958616785335463	0.05539484792118024	0.4063946596434959	3792.5	0.35325310291643097	0.021486674223494	0.088799247515517	0.2049829214932015	0.02946099343391375	0	0	0	0.5093263732984595	0.053170851797143995	0.9274570270751687	0.15677938966757224	0.2942068016128622	0.04326575862049975	0.2344809831207565	0.07282732179714076	73796.875	722400	1554	.375_#e9b777
5513	0.3861010723384087	0.6137804372296937	0.3499842915488533	0	0.41150520557614256	0.5884947944238574	0.050150842533151864	0.07006563109748372	1.8193559747961354e-4	0.03761555626394644	0.11690462952827979	0.027497708524289642	2.5340192078655957e-5	0.027654211955237505	0.008595988538681949	0.015319728550034228	0.01676270298585647	0.06501159862790179	0.4390843707787229	4186	0.430614406779661	0.027579162410623	0.115054602184087	0.290574060949681	0.034053367217281	0	0	0	0.569385593220339	0.060921843687375	0.939078156312625	0.202510460251046	0.329444444444444	0.051289083927592	0.270040080160321	0.101529902642559	82591.5	820600	1667.5	.5_#fdf6a3
6315	0.4132244806385733	0.640414888392101	0.38364656387455837	0	0.4351934503764567	0.6187574819314852	0.08183291231752395	0.08009362729925479	2.1777142101331157e-4	0.043537401424594994	0.13786336314567726	0.04767064486242606	3.701402709731522e-5	0.033105514285690606	0.009830549108607221	0.020553455780619064	0.02255320774512741	0.0734475409411277	0.4778433311096852	4601.25	0.49067362670154047	0.0407747923363965	0.14189456208297352	0.37143912561757025	0.04038132789056425	0.0024922796744662502	1.8634138320975e-4	0	0.646746897083569	0.0725429729248305	0.9468291482028559	0.23940181220961348	0.35492340750130474	0.06435165034367425	0.3187273108627713	0.143931318917444	94969.625	893450	1775.625	.625_#a2c0a1
9468	0.44196573908999304	0.6903423801529882	0.40815990713103956	0	0.4616490721126176	0.6536602416054329	0.1253884309209197	0.08894439405550533	2.937693016284952e-4	0.05450376862652774	0.17171186350407275	0.079659243760275	4.8687862115974485e-5	0.04040098173702413	0.012046204620462046	0.028354824730115327	0.028466483011937556	0.08883815020303737	0.5359453413144689	5081	0.6055774642453755	0.065625530691957007	0.2050540873286235	0.47487957440352846	0.047516423764754	0.005461921305870501	0.0019278800701985	0.003495831420351	0.7477915653808825	0.091617931135553	0.9554321521346065	0.2972788510924105	0.3981385716844785	0.0717282250464685	0.3758262993321615	0.1881876426552955	109088.25	990500	1912.5	.75_#55889e
13184.25	0.4876995254986896	0.7401477260335408	0.4523270784920229	0	0.5020642982804608	0.7261161004306451	0.17949527398409187	0.11397909726711536	4.267722335971157e-4	0.07254622376787942	0.21706814622910725	0.14205271036940775	3.4437806803259784e-4	0.054802641824642874	0.0167337162501737	0.037861818571590794	0.03890852225892669	0.11780529421872818	0.5944679089496936	5942.25	0.7105206904165218	0.12030121568085075	0.28330468593289526	0.5698165784982998	0.058229479523521505	0.01040352476868075	0.004807518857199249	0.0079675998850955	0.8887051042081843	0.1129612323582095	0.9678879796325968	0.35678129566475547	0.436946764735804	0.08981359350168625	0.4244334890157413	0.27740247225360526	127982.625	1127400	2119.625	.875_#195473
74992	0.8888888888888888	1	0.6944444444444444	0	0.8888888888888888	0.9166666666666666	0.4101277372262774	0.7777777777777778	0.04773842543204609	0.3591455273698264	0.40579300200831614	0.3552423186569528	6.400682739492212e-4	0.09012805965310423	0.038461538461538464	0.07692307692307693	0.5	0.7906976744186046	0.8333333333333334	12511	0.935897435897436	0.548317977287337	0.622779128483262	0.91318754141815806	0.09561049445005	0.063009473452302	0.021945866861741	0.141683778234086	0.979385780395456	0.244644870349493	1	0.469030328919265	0.782051282051282	0.141242937853107	0.540286144578313	0.630175836642087	176875	2000001	3501	1_#004364
