city	service_request_id	status	service_name	service_code	requested_datetime	updated_datetime	address	lat	long
Chicago, IL	SR19-02827250	open	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-10-28T08:33:01-05:00	2019-11-14T23:07:27-06:00	12437 S Normal Ave	41.66767587027896	-87.63408343822677
Chicago, IL	SR19-02828579	closed	Porch Inspection Request	5c1849d19e6e99eda0adc11d	2019-10-28T10:29:54-05:00	2019-11-14T23:07:26-06:00	11253 S Forrestville Ave	41.68952044451347	-87.60929831343324
Chicago, IL	SR19-02740835	closed	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-10-16T15:48:48-05:00	2019-11-14T23:07:26-06:00	5527 S Ashland Ave	41.79282891429666	-87.66421082207596
Chicago, IL	SR19-02828138	open	No Building Permit and Construction Violation	5c1849ce9e6e99eda0adaf4c	2019-10-28T09:55:08-05:00	2019-11-14T23:07:25-06:00	6283 N Louise Ave	41.995399461230605	-87.76653646551901
Chicago, IL	SR19-02349716	closed	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-08-30T13:38:02-05:00	2019-11-14T23:07:24-06:00	2554 W Lithuanian Plaza Ct	41.76847066891718	-87.68795505834582
Chicago, IL	SR19-02695615	closed	No Building Permit and Construction Violation	5c1849ce9e6e99eda0adaf4c	2019-10-10T12:05:15-05:00	2019-11-14T23:07:23-06:00	245 W 95 Th St	41.72142991904037	-87.6304274959603
Chicago, IL	SR19-02729297	closed	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-10-15T12:11:46-05:00	2019-11-14T23:07:23-06:00	5309 S Winchester Ave	41.797295212947546	-87.67296734109179
Chicago, IL	SR19-02767246	open	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-10-20T15:04:00-05:00	2019-11-14T23:07:23-06:00	4033 W Van Buren St	41.87507432098093	-87.72685516609498
Chicago, IL	SR19-02693548	closed	No Building Permit and Construction Violation	5c1849ce9e6e99eda0adaf4c	2019-10-10T09:57:15-05:00	2019-11-14T23:07:22-06:00	6942 S Wolcott Ave	41.767187221237855	-87.67142303586682
Chicago, IL	SR19-02729277	closed	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-10-15T12:10:29-05:00	2019-11-14T23:07:19-06:00	5307 S Winchester Ave	41.79736074075652	-87.67296971022145
Chicago, IL	SR19-02693367	closed	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-10-10T09:44:34-05:00	2019-11-14T23:07:17-06:00	1004 N Avers Ave	41.89926262885268	-87.72257873219387
Chicago, IL	SR19-02802150	closed	No Building Permit and Construction Violation	5c1849ce9e6e99eda0adaf4c	2019-10-24T11:03:57-05:00	2019-11-14T23:07:11-06:00	1423 N California Ave	41.90729790748454	-87.69695631841613
Chicago, IL	SR19-02801133	closed	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-10-24T09:45:43-05:00	2019-11-14T23:07:10-06:00	4334 W Jackson Blvd	41.87720390596221	-87.73430263305698
Chicago, IL	SR19-02685742	closed	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-10-09T11:48:54-05:00	2019-11-14T23:07:09-06:00	6133 S Bishop St	41.782196280810155	-87.6604149764385
Chicago, IL	SR19-02763741	closed	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-10-19T18:08:00-05:00	2019-11-14T23:07:07-06:00	5840 S Prairie Ave	41.788082034949625	-87.61945998809783
Chicago, IL	SR19-02714814	closed	No Building Permit and Construction Violation	5c1849ce9e6e99eda0adaf4c	2019-10-13T08:56:46-05:00	2019-11-14T23:07:07-06:00	9605 S Leavitt St	41.71895157095903	-87.67687004436907
Chicago, IL	SR19-02713982	closed	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-10-13T03:02:50-05:00	2019-11-14T23:07:05-06:00	5842 S Sangamon St	41.78748996237347	-87.64890789704762
Chicago, IL	SR19-02685383	open	Vacant/Abandoned Building Complaint	5c1849d19e6e99eda0adbfcd	2019-10-09T11:22:37-05:00	2019-11-14T23:06:59-06:00	556 N Leamington Ave	41.89101845182117	-87.7545121915995
