Bloomington_IN,Boston_MA,"Brookline, MA","Chicago, IL",Peoria_IL,San Francisco_CA
,,,Tobacco - General Complaint,,
,,,Tobacco - Sale to Minors Complaint,,
,,,Traffic Signal Out Complaint,,
,,,Tree Debris Clean-Up Request,,
,,,Tree Planting Request,,
,,,Tree Removal Request,,
,,,Tree Trim Request,,
,,,Vacant/Abandoned Building Complaint,,
,,,Vehicle Parked in Bike Lane Complaint,,
,,,Viaduct Light Out Complaint,,
,,,Vicious Animal Complaint,,
,,,Water On Street Complaint,,
,,,Water in Basement Complaint,,
,,,Weed Removal Request,,
,,,Wire Basket Request,,
,,,Yard Waste Pick-Up Request,,
